Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
MEANALP,3452,8.972391949968461e-06,1.5540638722767365e-05,2.3595869004001e-07,4.086924396366936e-07
R_VALUE,3372,0.7970832616564646,0.037251484752583,0.1661680589045851,0.0276832618909414
MEANGBH,3050,0.142102853920029,0.0323291979880587,0.0130826129096656,0.0046405874486627
MEANPOT,3032,-0.0013156838397041,0.0004343497388959,-0.0024236555394575,0.0007724996579034
MEANJZD,3021,0.2076101035729352,0.0208852031292135,0.0119499531555611,0.0053693328756875
TOTUSJZ,2954,0.8029060368967335,0.0575271163261051,0.2208682600152014,0.0228577976802822
ABSNJZH,2931,0.7203279776310468,0.0121694638808284,0.2620209775482319,0.0245937119872097
MEANSHR,2876,0.6486457039450403,0.0319175039367953,0.1100863670483589,0.0329081777345713
USFLUX,2822,0.7998585531738974,0.058149630707351,0.1989741915319262,0.0214167782908759
TOTFZ,2819,0.705405953545359,0.0516586321064654,0.1600516562395931,0.0248840808039415
TOTFX,2737,0.3651125462399482,0.0982936650490517,0.2321959080814085,0.0630029865159591
EPSZ,2677,0.6683948564084279,0.0282748307954717,0.1098765305858009,0.0324359906409298
SAVNCPP,2668,0.7411271100703448,0.0514187094737946,0.2604740624791851,0.0325852540997246
MEANGBT,2664,0.5223607374986861,0.0689471579578619,0.0579282544775674,0.0148329158991435
TOTFY,2644,0.3253378327914809,0.0971405172545124,0.3051173181209362,0.0389425266039944
EPSY,2571,0.2621228581185843,0.0417590049366938,0.0178706953458421,0.0105668115459058
SHRGT45,2528,0.6630248004986011,0.0340445950155377,0.1100129726816233,0.0336109909268262
EPSX,2504,0.254660573727837,0.0129109556342632,0.0157517009976566,0.0064493475055462
TOTBSQ,2439,0.8039435267701932,0.0725021798028495,0.196106746567332,0.0176177802673163
MEANGBZ,2276,0.4432915288651333,0.0542911920617628,0.0442827406797752,0.0132425118210653
MEANJZH,2243,0.104028536567054,0.1509463164487589,0.0166721930211718,0.022888684545053
TOTPOT,2216,-0.0005467890642819,0.0003633136357164,-0.0010381790816,0.0006816413658025
MEANGAM,1975,0.5974755762448912,0.032567730628408,0.0967475255342103,0.031722819336457
TOTUSJH,1861,0.8161520508243688,0.045382470904269,0.2319057253577101,0.0215627618494432
