Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
R_VALUE,0.024561404,0.7954758180057905,0.0392064217732029,0.1671850247394486,0.0272586609489829
SHRGT45,0.017811705,0.6659616556830817,0.0296711489456815,0.1099146979754735,0.0329592154231846
TOTUSJH,0.017456359,0.8159952152480269,0.0457057100622509,0.2303939912049822,0.0214239454590116
TOTUSJZ,0.016786571,0.8038246873001134,0.057589470799492,0.2245805118796381,0.0229124458987789
EPSX,0.015801354,0.2516782663270127,0.0138755797491013,0.0155990284283807,0.0065345313886659
TOTFZ,0.015217391,0.7054758089702561,0.0528528249083828,0.1597253203241072,0.0245796989763424
USFLUX,0.015053763,0.8000538823279176,0.0573115757168603,0.1987282927773204,0.0215147439561764
MEANGAM,0.014705882,0.5938928238953277,0.0312629248563767,0.0965775392554124,0.0318388907836122
EPSZ,0.014613779,0.6695361743673454,0.0303118871541452,0.1101043278115559,0.0329769354400317
MEANSHR,0.014553015,0.6504639387128127,0.0299838360734191,0.110415844911361,0.0325913103711167
TOTBSQ,0.013084112,0.8045084569963903,0.0705131945904501,0.1956080788874461,0.0180596924298493
EPSY,0.012567325,0.2421077706524402,0.0379324699780821,0.0157330393082006,0.0092161571274984
TOTFX,0.012195122,0.3440972070947323,0.1006757461194846,0.2357250090342448,0.069610354370597
SAVNCPP,0.011904762,0.7247721658100416,0.0461540263023031,0.2785253215084627,0.0360702591723681
ABSNJZH,0.011784512,0.7053503799725162,0.0156986146330423,0.279944414301332,0.0237695886723589
MEANGBT,0.011217949,0.5201569324669112,0.0647371896379777,0.0571614965279801,0.0150439856203377
MEANGBZ,0.010574018,0.442998308550226,0.0535938756542051,0.0439136135592523,0.0132439918650988
MEANGBH,0.010416667,0.1461426244614949,0.0334316250671806,0.0134757882443251,0.0047560590594423
TOTFY,0.009358289,0.324360345803946,0.0979756400687294,0.3090048134456271,0.0409250911734525
MEANJZH,0.009234828,0.101057618952379,0.146716445083379,0.0146519940377652,0.019789946354926
TOTPOT,0.008373206,-0.0005386704678248,0.0003606781052818,-0.001022997662162,0.0006766053921299
MEANPOT,0.008064516,4.36200562374441e-05,4.670875015658204e-05,2.598215129235274e-06,3.4179147940457487e-06
MEANJZD,0.007462687,0.2116543576915436,0.0212412712550773,0.012240997018337,0.0054961325007032
MEANALP,0.007430998,-0.0451363804690035,0.0928175329154256,-0.0021808071317319,0.0042693595008404
